Name,Quantity,Component
"U17.8KHz, U2 Hz",2," Timer"
"C1",1,"220 pF Capacitor"
"R1",1,"100 kΩ Resistor"
"U3, U4, U5",3," Johnson Decade Counter"
"DIST1",1," Ultrasonic Distance Sensor"
"C2, C3",2,"100 nF Capacitor"
"R2",1,"2 kΩ Resistor"
"R3, R4",2,"3 kΩ Resistor"
"D6, D9, D11, D8, D1, D2, D3, D5, D4",9,"Red LED"
"D10, D12, D7, D13, D14, D15, D16, D17, D18",9,"Green LED"
"R5",1,"1000 Ω Resistor"
"D19, D20, D21, D22, D23, D24, D25, D26, D27",9,"Blue LED"
"R6",1,"33 kΩ Resistor"
"P1",1,"4 , 5  Power Supply"
"T2",1," NPN Transistor (BJT)"
"R7",1,"200 kΩ Resistor"
"U1",1,"1 ms Oscilloscope"
